Repository,ProjectType,Build,Test,Deploy,CodeAnalysis
undertheseanlp/underthesea,Tool,TRUE,TRUE,TRUE,TRUE
vi3k6i5/flashtext,Applied,TRUE,TRUE,FALSE,TRUE
vzhong/embeddings,Tool,TRUE,TRUE,FALSE,FALSE
yzhao062/pyod,Tool,TRUE,TRUE,FALSE,TRUE
wittawatj/fsic-test,Applied,TRUE,TRUE,FALSE,FALSE
yasserfarouk/negmas,Tool,TRUE,TRUE,TRUE,FALSE
yasufumy/pipelib,Tool,TRUE,TRUE,FALSE,FALSE
ysig/GraKeL,Tool,TRUE,FALSE,FALSE,FALSE
Zenohm/Friday,Applied,TRUE,TRUE,TRUE,FALSE
scikit-learn-contrib/lightning,Applied,TRUE,TRUE,FALSE,FALSE
chakki-works/sumeval,Tool,TRUE,TRUE,TRUE,TRUE
EducationalTestingService/skll,Tool,TRUE,TRUE,FALSE,TRUE
