repoUrl,failCommit,passCommit,mainProblem,allProblems,problemBuildState
git://github.com/5hirish/adam_qas.git,d0a72e1e3872645bcac21e21180d23d351de0ea9,45036b6aa683fd9b40a40fff05ccbc000e7ed358,BuildDependencyError,['BuildDependencyError'; 'BuildDependencyError'],errored
git://github.com/abdullahselek/koolsla.git,79827ec8e7f90ce79536741e100dd0553c4ceee4,2dcf29842046d0f7547433b5742eb729040fcacd,BuildDependencyError,['BuildDependencyError'; 'BuildDependencyError'; 'BuildDependencyError'; 'BuildDependencyError'; 'BuildDependencyError'],errored
git://github.com/abdullahselek/spampy.git,71220282a7ee90fb266c73c433587dcc1cd69496,b2e2a20f65116b5355aff1afec04d09ff7637450,BuildDependencyError,['BuildDependencyError'; 'BuildDependencyError'],errored
git://github.com/akoumjian/datefinder.git,9067c12a9f0f5472168daf20dbed34c408a8e775,250be3f595ab1aaa4527059def1b6d95874afaad,TestFail,['TestFail'; 'TestFail'; 'TestFail'; 'TestFail'],failed
git://github.com/albarji/proxTV.git,1ff48294836477166080b0c76b1586b01db09a84,4812160a7b25042ba2e07e27c6cfc9c7eb8b0d12,TestError,[ 'TestFail';  'TestFail';  'TestFail'; 'TestError'],failed
git://github.com/albarji/proxTV.git,5e5bc9995424c57e05a718dcc34187a202451a3f,7c458c0daa9afda4e1eb62c9da1c95b101b28ec2,TestFail,['TestFail'],failed
git://github.com/albarji/proxTV.git,91c4f18346e411d481f08b44b9f5c111fb110b87,e35d4446c3f27de264ccdf3d767197eab42f481b,TestFail,['TestFail'],failed
git://github.com/albarji/proxTV.git,ce77a3a10e438416b7b0c7688bb03e6b9ee7667a,49af8873d2dca7e84705011ba6d223c469404499,FailMarkedAsError,['FailMarkedAsError'; 'FailMarkedAsError'],errored
git://github.com/albarji/proxTV.git,3ea445e97c792a2b20d4f3eebf12c79f6785349f,c2f5fe473f79ecb1638da8d92f51848c8d3f5fc4,BuildDependencyError,['BuildDependencyError'; 'BuildDependencyError'; 'BuildDependencyError'; 'BuildDependencyError'],errored
git://github.com/alvations/pywsd.git,6d6d107636c0d816f7a6d15c7f6d39f0601a8bfb,43a2b7387556fe0ec8e97531df94176103818e1e,BuildError,['BuildError'; 'BuildError'],failed
git://github.com/alvinwan/timefhuman.git,d01edb675772763bd3639abe98ba3da966318db4,0a66b4810d71cc1aecf70fc463ec4abc3cafb4ec,TestError,[ 'TestFail';  'TestFail'; 'TestError'],failed
git://github.com/alvinwan/timefhuman.git,640b0a00d5052653bb4c6a8202ed52e1f766db9a,327751bcd0f16669268f6c7d296eafeee8a002a6,TestFail,['TestFail'],failed
git://github.com/alvinwan/timefhuman.git,1e8875e5fde14effa2598d8cb5154c24f1f7d26c,edd0acf3b83860917f6f9459c832348d657c6c45,log not found,['log not found'],failed
git://github.com/apple/turicreate.git,66116488042f5f7cc8dff81906e947b65349e7f4,819b1a92bca22fa42a2d440f3aafa85fdda9dd32,BuildError,['BuildError'],failed
git://github.com/apple/turicreate.git,f39e63e5fd63b4d320c8103c0fa7c5fe8703ae72,a4c7a391bfbc7982e7cad2f8824e257ae7c1c360,BuildError,['BuildError'],failed
git://github.com/apple/turicreate.git,6e8049e4fa6ab44dd3cf55568157bd0ccc23b03e,40618fd23e4cb53d57ac72fecea22403ad6c1ac8,TestFail,['TestFail'],failed
