RepoName,RepoType,GitHubURL,TravisFileURL
IBM/MAX-ResNet-50,Applied,https://github.com/IBM/MAX-ResNet-50.git,https://github.com/IBM/MAX-ResNet-50/blob/master/.travis.yml
IBM/MAX-Image-Caption-Generator,Applied,https://github.com/IBM/MAX-Image-Caption-Generator.git,https://github.com/IBM/MAX-Image-Caption-Generator/blob/master/.travis.yml
kiudee/cs-ranking,Applied,https://github.com/kiudee/cs-ranking.git,https://github.com/kiudee/cs-ranking/blob/master/.travis.yml
msuzen/bristol,Applied,https://github.com/msuzen/bristol.git,https://github.com/msuzen/bristol/blob/master/.travis.yml
jkoutsikakis/pytorch-wrapper,Applied,https://github.com/jkoutsikakis/pytorch-wrapper.git,https://github.com/jkoutsikakis/pytorch-wrapper/blob/master/.travis.yml
georgymh/decentralized-ml,Applied,https://github.com/georgymh/decentralized-ml.git,https://github.com/georgymh/decentralized-ml/blob/master/.travis.yml
sbl-sdsc/mmtf-pyspark,Applied,https://github.com/sbl-sdsc/mmtf-pyspark.git,https://github.com/sbl-sdsc/mmtf-pyspark/blob/master/.travis.yml
thuijskens/scikit-hyperband,Tool,https://github.com/thuijskens/scikit-hyperband.git,https://github.com/thuijskens/scikit-hyperband/blob/master/.travis.yml
priyankshah7/hypers,Applied,https://github.com/priyankshah7/hypers.git,https://github.com/priyankshah7/hypers/blob/master/.travis.yml
jungtaekkim/bayeso,Applied,https://github.com/jungtaekkim/bayeso.git,https://github.com/jungtaekkim/bayeso/blob/master/.travis.yml
sherpa-ai/sherpa,Applied,https://github.com/sherpa-ai/sherpa.git,https://github.com/sherpa-ai/sherpa/blob/master/.travis.yml
justinshenk/fer,Applied,https://github.com/justinshenk/fer.git,https://github.com/justinshenk/fer/blob/master/.travis.yml
IBM/MAX-Audio-Sample-Generator,Applied,https://github.com/IBM/MAX-Audio-Sample-Generator.git,https://github.com/IBM/MAX-Audio-Sample-Generator/blob/master/.travis.yml
permfl/dictlearn,Applied,https://github.com/permfl/dictlearn.git,https://github.com/permfl/dictlearn/blob/master/.travis.yml
Kensuke-Mitsuzawa/JapaneseTokenizers,Tool,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers.git,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/blob/master/.travis.yml
square/pysurvival,Tool,https://github.com/square/pysurvival.git,https://github.com/square/pysurvival/blob/master/.travis.yml
Axelrod-Python/axelrod-dojo,Applied,https://github.com/Axelrod-Python/axelrod-dojo.git,https://github.com/Axelrod-Python/axelrod-dojo/blob/master/.travis.yml
t-sakai-kure/pywsl,Tool,https://github.com/t-sakai-kure/pywsl.git,https://github.com/t-sakai-kure/pywsl/blob/master/.travis.yml
HealthCatalyst/healthcareai-py,Applied,https://github.com/HealthCatalyst/healthcareai-py.git,https://github.com/HealthCatalyst/healthcareai-py/blob/master/.travis.yml
BerkeleyAutomation/gqcnn,Applied,https://github.com/BerkeleyAutomation/gqcnn.git,https://github.com/BerkeleyAutomation/gqcnn/blob/master/.travis.yml
triagemd/keras-eval,Applied,https://github.com/triagemd/keras-eval.git,https://github.com/triagemd/keras-eval/blob/master/.travis.yml
IBM/MAX-Audio-Classifier,Applied,https://github.com/IBM/MAX-Audio-Classifier.git,https://github.com/IBM/MAX-Audio-Classifier/blob/master/.travis.yml
r9y9/deepvoice3_pytorch,Applied,https://github.com/r9y9/deepvoice3_pytorch.git,https://github.com/r9y9/deepvoice3_pytorch/blob/master/.travis.yml
glm-tools/pyglmnet,Applied,https://github.com/glm-tools/pyglmnet.git,https://github.com/glm-tools/pyglmnet/blob/master/.travis.yml
jeffkinnison/shadho,Applied,https://github.com/jeffkinnison/shadho.git,https://github.com/jeffkinnison/shadho/blob/master/.travis.yml
vene/sparse-structured-attention,Applied,https://github.com/vene/sparse-structured-attention.git,https://github.com/vene/sparse-structured-attention/blob/master/.travis.yml
ubclaunchpad/minutes,Applied,https://github.com/ubclaunchpad/minutes.git,https://github.com/ubclaunchpad/minutes/blob/master/.travis.yml
guillaumegenthial/tf_metrics,Tool,https://github.com/guillaumegenthial/tf_metrics.git,https://github.com/guillaumegenthial/tf_metrics/blob/master/.travis.yml
makcedward/nlpaug,Applied,https://github.com/makcedward/nlpaug.git,https://github.com/makcedward/nlpaug/blob/master/.travis.yml
albarji/proxTV,Applied,https://github.com/albarji/proxTV.git,https://github.com/albarji/proxTV/blob/master/.travis.yml
NLPatVCU/medaCy,Applied,https://github.com/NLPatVCU/medaCy.git,https://github.com/NLPatVCU/medaCy/blob/master/.travis.yml
abdullahselek/koolsla,Applied,https://github.com/abdullahselek/koolsla.git,https://github.com/abdullahselek/koolsla/blob/master/.travis.yml
abdullahselek/spampy,Applied,https://github.com/abdullahselek/spampy.git,https://github.com/abdullahselek/spampy/blob/master/.travis.yml
persephone-tools/persephone,Applied,https://github.com/persephone-tools/persephone.git,https://github.com/persephone-tools/persephone/blob/master/.travis.yml
locuslab/qpth,Tool,https://github.com/locuslab/qpth.git,https://github.com/locuslab/qpth/blob/master/.travis.yml
sammous/spacy-lefff,Tool,https://github.com/sammous/spacy-lefff.git,https://github.com/sammous/spacy-lefff/blob/master/.travis.yml
toodef/neural-pipeline,Applied,https://github.com/toodef/neural-pipeline.git,https://github.com/toodef/neural-pipeline/blob/master/.travis.yml
intuit/foremast-brain,Applied,https://github.com/intuit/foremast-brain.git,https://github.com/intuit/foremast-brain/blob/master/.travis.yml
ErikGartner/hyperdock,Applied,https://github.com/ErikGartner/hyperdock.git,https://github.com/ErikGartner/hyperdock/blob/master/.travis.yml
zvtvz/zvt,Applied,https://github.com/zvtvz/zvt.git,https://github.com/zvtvz/zvt/blob/master/.travis.yml
vi3k6i5/flashtext,Applied,https://github.com/vi3k6i5/flashtext.git,https://github.com/vi3k6i5/flashtext/blob/master/.travis.yml
wittawatj/kernel-gof,Applied,https://github.com/wittawatj/kernel-gof.git,https://github.com/wittawatj/kernel-gof/blob/master/.travis.yml
titu1994/tfdiffeq,Applied,https://github.com/titu1994/tfdiffeq.git,https://github.com/titu1994/tfdiffeq/blob/master/.travis.yml
ncbi-nlp/NegBio,Applied,https://github.com/ncbi-nlp/NegBio.git,https://github.com/ncbi-nlp/NegBio/blob/master/.travis.yml
atomistic-machine-learning/schnetpack,Applied,https://github.com/atomistic-machine-learning/schnetpack.git,https://github.com/atomistic-machine-learning/schnetpack/blob/master/.travis.yml
nok/sklearn-porter,Applied,https://github.com/nok/sklearn-porter.git,https://github.com/nok/sklearn-porter/blob/master/.travis.yml
mila-iqia/babyai,Applied,https://github.com/mila-iqia/babyai.git,https://github.com/mila-iqia/babyai/blob/master/.travis.yml
SuperKogito/Voice-based-gender-recognition,Applied,https://github.com/SuperKogito/Voice-based-gender-recognition.git,https://github.com/SuperKogito/Voice-based-gender-recognition/blob/master/.travis.yml
duketemon/pyuplift,Applied,https://github.com/duketemon/pyuplift.git,https://github.com/duketemon/pyuplift/blob/master/.travis.yml
proycon/gecco,Applied,https://github.com/proycon/gecco.git,https://github.com/proycon/gecco/blob/master/.travis.yml
pathwayforte/pathway-forte,Applied,https://github.com/pathwayforte/pathway-forte.git,https://github.com/pathwayforte/pathway-forte/blob/master/.travis.yml
huggingface/neuralcoref,Applied,https://github.com/huggingface/neuralcoref.git,https://github.com/huggingface/neuralcoref/blob/master/.travis.yml
indix/whatthelang,Applied,https://github.com/indix/whatthelang.git,https://github.com/indix/whatthelang/blob/master/.travis.yml
ParrotPrediction/pyalcs,Applied,https://github.com/ParrotPrediction/pyalcs.git,https://github.com/ParrotPrediction/pyalcs/blob/master/.travis.yml
IBM/MAX-Image-Resolution-Enhancer,Applied,https://github.com/IBM/MAX-Image-Resolution-Enhancer.git,https://github.com/IBM/MAX-Image-Resolution-Enhancer/blob/master/.travis.yml
raamana/graynet,Applied,https://github.com/raamana/graynet.git,https://github.com/raamana/graynet/blob/master/.travis.yml
ikegami-yukino/oseti,Applied,https://github.com/ikegami-yukino/oseti.git,https://github.com/ikegami-yukino/oseti/blob/master/.travis.yml
Keep-Current/Engine,Applied,https://github.com/Keep-Current/Engine.git,https://github.com/Keep-Current/Engine/blob/master/.travis.yml
a-slide/pycoQC,Applied,https://github.com/a-slide/pycoQC.git,https://github.com/a-slide/pycoQC/blob/master/.travis.yml
samuelstjean/nlsam,Tool,https://github.com/samuelstjean/nlsam.git,https://github.com/samuelstjean/nlsam/blob/master/.travis.yml
LexPredict/lexpredict-lexnlp,Tool,https://github.com/LexPredict/lexpredict-lexnlp.git,https://github.com/LexPredict/lexpredict-lexnlp/blob/master/.travis.yml
Tiiiger/bert_score,Applied,https://github.com/Tiiiger/bert_score.git,https://github.com/Tiiiger/bert_score/blob/master/.travis.yml
ibrahimsharaf/doc2vec,Applied,https://github.com/ibrahimsharaf/doc2vec.git,https://github.com/ibrahimsharaf/doc2vec/blob/master/.travis.yml
DongjunLee/kino-bot,Applied,https://github.com/DongjunLee/kino-bot.git,https://github.com/DongjunLee/kino-bot/blob/master/.travis.yml
MaxHalford/starboost,Applied,https://github.com/MaxHalford/starboost.git,https://github.com/MaxHalford/starboost/blob/master/.travis.yml
howl-anderson/seq2annotation,Applied,https://github.com/howl-anderson/seq2annotation.git,https://github.com/howl-anderson/seq2annotation/blob/master/.travis.yml
databricks/spark-sklearn,Tool,https://github.com/databricks/spark-sklearn.git,https://github.com/databricks/spark-sklearn/blob/master/.travis.yml
beringresearch/ivis,Applied,https://github.com/beringresearch/ivis.git,https://github.com/beringresearch/ivis/blob/master/.travis.yml
koshort/pyeunjeon,Applied,https://github.com/koshort/pyeunjeon.git,https://github.com/koshort/pyeunjeon/blob/master/.travis.yml
ugnelis/tensorflow-rnn-ctc,Applied,https://github.com/ugnelis/tensorflow-rnn-ctc.git,https://github.com/ugnelis/tensorflow-rnn-ctc/blob/master/.travis.yml
platisd/bad-commit-message-blocker,Applied,https://github.com/platisd/bad-commit-message-blocker.git,https://github.com/platisd/bad-commit-message-blocker/blob/master/.travis.yml
PPPLDeepLearning/plasma-python,Applied,https://github.com/PPPLDeepLearning/plasma-python.git,https://github.com/PPPLDeepLearning/plasma-python/blob/master/.travis.yml
MathBunny/strava-wind-analysis-ml,Applied,https://github.com/MathBunny/strava-wind-analysis-ml.git,https://github.com/MathBunny/strava-wind-analysis-ml/blob/master/.travis.yml
chakki-works/chariot,Applied,https://github.com/chakki-works/chariot.git,https://github.com/chakki-works/chariot/blob/master/.travis.yml
scikit-learn-contrib/stability-selection,Tool,https://github.com/scikit-learn-contrib/stability-selection.git,https://github.com/scikit-learn-contrib/stability-selection/blob/master/.travis.yml
HoloClean/holoclean,Applied,https://github.com/HoloClean/holoclean.git,https://github.com/HoloClean/holoclean/blob/master/.travis.yml
cjekel/tindetheus,Applied,https://github.com/cjekel/tindetheus.git,https://github.com/cjekel/tindetheus/blob/master/.travis.yml
mholtzscher/spacy_readability,Applied,https://github.com/mholtzscher/spacy_readability.git,https://github.com/mholtzscher/spacy_readability/blob/master/.travis.yml
domainadaptation/salad,Applied,https://github.com/domainadaptation/salad.git,https://github.com/domainadaptation/salad/blob/master/.travis.yml
ssydasheng/GPflow-Slim,Applied,https://github.com/ssydasheng/GPflow-Slim.git,https://github.com/ssydasheng/GPflow-Slim/blob/master/.travis.yml
IlyaGusev/rnnmorph,Applied,https://github.com/IlyaGusev/rnnmorph.git,https://github.com/IlyaGusev/rnnmorph/blob/master/.travis.yml
cbg-ethz/pybda,Applied,https://github.com/cbg-ethz/pybda.git,https://github.com/cbg-ethz/pybda/blob/master/.travis.yml
fdtomasi/regain,Applied,https://github.com/fdtomasi/regain.git,https://github.com/fdtomasi/regain/blob/master/.travis.yml
NRCan/geo-deep-learning,Applied,https://github.com/NRCan/geo-deep-learning.git,https://github.com/NRCan/geo-deep-learning/blob/master/.travis.yml
RandolphVI/Next-Basket-Recommendation,Applied,https://github.com/RandolphVI/Next-Basket-Recommendation.git,https://github.com/RandolphVI/Next-Basket-Recommendation/blob/master/.travis.yml
akshaynagpal/w2n,Applied,https://github.com/akshaynagpal/w2n.git,https://github.com/akshaynagpal/w2n/blob/master/.travis.yml
aleju/imgaug,Applied,https://github.com/aleju/imgaug.git,https://github.com/aleju/imgaug/blob/master/.travis.yml
ELS-RD/anonymisation,Applied,https://github.com/ELS-RD/anonymisation.git,https://github.com/ELS-RD/anonymisation/blob/master/.travis.yml
textpipe/textpipe,Applied,https://github.com/textpipe/textpipe.git,https://github.com/textpipe/textpipe/blob/master/.travis.yml
parlance/ctcdecode,Tool,https://github.com/parlance/ctcdecode.git,https://github.com/parlance/ctcdecode/blob/master/.travis.yml
jmschrei/apricot,Tool,https://github.com/jmschrei/apricot.git,https://github.com/jmschrei/apricot/blob/master/.travis.yml
raphaelvallat/entropy,Applied,https://github.com/raphaelvallat/entropy.git,https://github.com/raphaelvallat/entropy/blob/master/.travis.yml
vecto-ai/vecto,Applied,https://github.com/vecto-ai/vecto.git,https://github.com/vecto-ai/vecto/blob/master/.travis.yml
koalanlp/python-support,Tool,https://github.com/koalanlp/python-support.git,https://github.com/koalanlp/python-support/blob/master/.travis.yml
