RepoName,BuildStatus,TotalJobsRun,TotalPassedJobs
ahmad-abdellatif/mocr,errored,5.0,4.0
ahmad-abdellatif/moe-serifu-agent,partially passed,4.0,0.0
ahmad-abdellatif/moses,partially passed,3.0,0.0
ahmad-abdellatif/mouse_connectivity_models,errored,1.0,0.0
ahmad-abdellatif/mt-dnn,errored,3.0,0.0
ahmad-abdellatif/multi_rake,failed,4.0,3.0
ahmad-abdellatif/MusicScoreClassifier,errored,1.0,1.0
ahmad-abdellatif/NegBio,partially passed,2.0,0.0
ahmad-abdellatif/netharn,passed,4.0,3.0
ahmad-abdellatif/neural-pipeline,failed,1.0,1.0
ahmad-abdellatif/neuralcoref,partially passed,8.0,8.0
ahmad-abdellatif/Next-Basket-Recommendation,passed,1.0,0.0
ahmad-abdellatif/nlpaug,passed,1.0,1.0
ahmad-abdellatif/nlppln,errored,,
ahmad-abdellatif/octconv,passed,2.0,0.0
ahmad-abdellatif/onnx-chainer,,1.0,0.0
ahmad-abdellatif/openl3,failed,,
ahmad-abdellatif/osprey,errored,,
ahmad-abdellatif/pathway-forte,,1.0,0.0
ahmad-abdellatif/persephone,,1.0,0.0
ahmad-abdellatif/pescador,failed,1.0,0.0
ahmad-abdellatif/pfla,errored,1.0,0.0
ahmad-abdellatif/pic2vec,errored,1.0,0.0
ahmad-abdellatif/PICCL,failed,1.0,0.0
ahmad-abdellatif/PILCO,errored,1.0,1.0
ahmad-abdellatif/plasma-python,errored,7.0,0.0
ahmad-abdellatif/practNLPTools-lite,passed,1.0,0.0
ahmad-abdellatif/proxTV,failed,1.0,0.0
ahmad-abdellatif/pyalcs,errored,4.0,2.0
ahmad-abdellatif/pybda,errored,1.0,0.0
ahmad-abdellatif/pycoQC,partially passed,1.0,0.0
ahmad-abdellatif/pycroscopy,errored,1.0,0.0
ahmad-abdellatif/pyeunjeon,errored,1.0,1.0
ahmad-abdellatif/pyglmnet,errored,1.0,0.0
ahmad-abdellatif/pyGPGO,passed,1.0,0.0
ahmad-abdellatif/PyKOMORAN,errored,1.0,1.0
ahmad-abdellatif/pylj,failed,2.0,0.0
ahmad-abdellatif/pymc-learn,passed,4.0,0.0
ahmad-abdellatif/pymfe,failed,1.0,0.0
ahmad-abdellatif/pymlask,errored,,
ahmad-abdellatif/pymuscle,errored,2.0,2.0
ahmad-abdellatif/pyrrha-pynode,,1.0,0.0
ahmad-abdellatif/python-bpe,passed,3.0,2.0
ahmad-abdellatif/pytorch-wrapper,failed,1.0,0.0
ahmad-abdellatif/pytreebank,partially passed,3.0,0.0
ahmad-abdellatif/pyuplift,errored,1.0,1.0
ahmad-abdellatif/pywsd,errored,1.0,0.0
ahmad-abdellatif/QuCumber,passed,1.0,0.0
ahmad-abdellatif/recoder,errored,1.0,0.0
ahmad-abdellatif/regain,errored,1.0,1.0
ahmad-abdellatif/robosat,errored,1.0,0.0
ahmad-abdellatif/robot-surgery-segmentation,passed,1.0,0.0
ahmad-abdellatif/rrcf,failed,1.0,0.0
ahmad-abdellatif/sacremoses,errored,3.0,0.0
ahmad-abdellatif/salad,failed,2.0,2.0
ahmad-abdellatif/scattertext,errored,1.0,0.0
ahmad-abdellatif/schnetpack,passed,1.0,0.0
ahmad-abdellatif/scikit-garden,failed,4.0,0.0
ahmad-abdellatif/scikit-multilearn,errored,2.0,1.0
ahmad-abdellatif/scikit-optimize,errored,5.0,0.0
ahmad-abdellatif/scitime,failed,3.0,0.0
ahmad-abdellatif/seglearn,errored,2.0,0.0
ahmad-abdellatif/seq2annotation,errored,6.0,0.0
ahmad-abdellatif/serenata-de-amor,failed,2.0,0.0
ahmad-abdellatif/setka,failed,6.0,6.0
ahmad-abdellatif/shadho,errored,1.0,0.0
ahmad-abdellatif/shapenet,passed,5.0,0.0
ahmad-abdellatif/sherpa,failed,2.0,0.0
ahmad-abdellatif/sigpy,errored,1.0,0.0
ahmad-abdellatif/simple-image-classifier,errored,,
ahmad-abdellatif/skggm,errored,4.0,0.0
ahmad-abdellatif/sklearn-porter,,,
ahmad-abdellatif/snips-nlu-metrics,errored,1.0,0.0
ahmad-abdellatif/spacy-sentiws,,1.0,0.0
ahmad-abdellatif/spacy_readability,failed,,
ahmad-abdellatif/spampy,errored,3.0,1.0
ahmad-abdellatif/sparse-structured-attention,,4.0,3.0
ahmad-abdellatif/spotlight,errored,3.0,0.0
ahmad-abdellatif/starboost,partially passed,3.0,0.0
ahmad-abdellatif/stheno,failed,1.0,1.0
ahmad-abdellatif/strava-wind-analysis-ml,errored,6.0,0.0
ahmad-abdellatif/synthtorch,passed,6.0,0.0
ahmad-abdellatif/syntok,errored,4.0,0.0
ahmad-abdellatif/tangent,errored,6.0,5.0
ahmad-abdellatif/tensorflow-rnn-ctc,errored,2.0,0.0
ahmad-abdellatif/textpipe,partially passed,1.0,1.0
ahmad-abdellatif/tfdiffeq,errored,3.0,0.0
ahmad-abdellatif/timefhuman,passed,3.0,2.0
ahmad-abdellatif/tindetheus,errored,4.0,3.0
ahmad-abdellatif/torchgpipe,partially passed,3.0,0.0
ahmad-abdellatif/transformer-lm,partially passed,1.0,1.0
ahmad-abdellatif/uwreact_robot,errored,,
ahmad-abdellatif/vecto,passed,1.0,1.0
ahmad-abdellatif/Voice-based-gender-recognition,,2.0,1.0
ahmad-abdellatif/w2n,passed,1.0,0.0
ahmad-abdellatif/whatthelang,errored,2.0,0.0
ahmad-abdellatif/wiki-dump-reader,errored,1.0,1.0
ahmad-abdellatif/wukong-robot,failed,5.0,5.0
ahmad-abdellatif/wwdata,passed,2.0,0.0
ahmad-abdellatif/ZOOpt,passed,1.0,1.0
